tick,time_s,state,drive_en,lift_btn,dump_btn,estop,comms_raw,comms_filt,fault_latch,fault_reason,fault_code,drive_cmd,lift_cmd,dump_cmd,target_vel,vel,motor_cmd,integ,u_unsat,u_sat,windup_block,lift_p,dump_p
4,0.040,IDLE,0,0,0,0,1,1,0,NONE,0,0,0,0,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
9,0.090,IDLE,0,0,0,0,1,1,0,NONE,0,0,0,0,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
13,0.130,IDLE,0,0,0,0,1,1,0,NONE,0,0,0,0,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
17,0.170,IDLE,0,0,0,0,1,1,0,NONE,0,0,0,0,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
22,0.220,IDLE,0,0,0,0,1,1,0,NONE,0,0,0,0,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
26,0.260,IDLE,0,0,0,0,1,1,0,NONE,0,0,0,0,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
30,0.300,IDLE,0,0,0,0,1,1,0,NONE,0,0,0,0,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
34,0.340,IDLE,0,0,0,0,1,1,0,NONE,0,0,0,0,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
38,0.380,IDLE,0,0,0,0,1,1,0,NONE,0,0,0,0,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
44,0.440,IDLE,0,0,0,0,1,1,0,NONE,0,0,0,0,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
48,0.480,IDLE,0,0,0,0,1,1,0,NONE,0,0,0,0,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
